Process name,Flow name,Compartment,Amount,Normalized flow name,Normalized compartment
Propylene,"Volume occupied, final repository for low-active radioactive waste [Land occupation]",,-1.2101e-09,"volume occupied,final repository for low-active radioactive waste",
Propylene,samarium [Non-renewable element resources from ground],,-2.0057e-09,samarium,
Propylene,inert rock [Non-renewable material resources from ground],,-4.671270816954564e-06,inert rock,
Propylene,primary energy from wind power [Renewable energy resources from air],,-0.039424,primary energy from wind power,
Propylene,basalt [Non-renewable material resources from ground],,-1.8913e-11,basalt,
Propylene,colemanite [Non-renewable material resources from ground],,-4.5898e-09,colemanite,
Propylene,biomass [Renewable energy resources from biosphere],,-0.13020067803,biomass,
Propylene,rhodium [Non-renewable element resources from ground],,-3.90072e-12,rhodium,
Propylene,potassium chloride [Non-renewable material resources from ground],,-7.9553e-09,potassium chloride,
Propylene,fluorspar [Non-renewable material resources from ground],,-2.1326e-05,fluorspar,
Propylene,"Volume occupied, final repository for radioactive waste [Land occupation]",,-3.0647e-10,"volume occupied,final repository for radioactive waste",
Propylene,bentonite [Non-renewable material resources from ground],,-2.5907e-06,bentonite,
Propylene,Pit Methane [Non-renewable energy resources from ground],,-0.00257450893478261,pit methane,
Propylene,clay [Non-renewable material resources from ground],,-3.7762e-06,clay,
Propylene,natural aggregate [Non-renewable material resources from ground],,-6.5597e-05,natural aggregate,
Propylene,"from urban, continuously built [Land transformation]",,-1.1879e-06,"from urban,continuously built",
Propylene,primary energy from solar energy [Renewable energy resources from air],,-0.0036574,primary energy from solar energy,
Propylene,cinnabar [Non-renewable material resources from ground],,-1.631e-09,cinnabar,
Propylene,"urban, continuously built [Land occupation]",,-0.0002215,"urban,continuously built",
Propylene,"to urban, continuously built [Land transformation]",,-1.8229e-06,"to urban,continuously built",
Propylene,primary energy from geothermics [Renewable energy resources from ground],,-0.00074195,primary energy from geothermics,
Propylene,sodium nitrate [Non-renewable material resources from ground],,-8.5096e-15,sodium nitrate,
Propylene,feldspar [Non-renewable material resources from ground],,-1.9797e-15,feldspar,
Propylene,diatomite [Non-renewable material resources from ground],,-2.027e-13,diatomite,
Propylene,gadolinium [Non-renewable element resources from ground],,-1.0046e-09,gadolinium,
Propylene,fluorine [Non-renewable element resources from ground],,-1.03785e-06,fluorine,
Propylene,europium [Non-renewable element resources from ground],,-4.0252e-10,europium,
Propylene,sea water [Renewable material resources from water],,-0.53119,sea water,
Propylene,calcium carbonate [Non-renewable material resources from ground],,-0.0018482,calcium carbonate,
Propylene,"to agriculture, mosaic [Land transformation]",,-2.1858e-06,"to agriculture,mosaic",
Propylene,river water [Renewable material resources from water],,-0.0585,river water,
Propylene,talc [Non-renewable material resources from ground],,-3.6792e-09,talc,
Propylene,antimonite [Non-renewable material resources from ground],,-2.1065e-14,antimonite,
Propylene,borax [Non-renewable material resources from ground],,-1.6061e-10,borax,
Propylene,dolomite [Non-renewable material resources from ground],,-9.5305e-09,dolomite,
Propylene,slate [Non-renewable material resources from ground],,-2.2726e-09,slate,
Propylene,calcium [Emissions to fresh water],,1.7043e-07,calcium,
Propylene,sulfate [Emissions to fresh water],,0.0040054,sulfate,
Propylene,"butylene glycol [Emissions to air, unspecified]",,1.2403e-15,butene glycol,
Propylene,total organic carbon [Emissions to non-agricultural soil],,5.8715e-08,total organic carbon,
Propylene,"hydrocarbons (unspecified) [Emissions to air, unspecified]",,1.1323e-06,hydrocarbons,
Propylene,"Sodium dichromate [Emissions to air, unspecified]",,9.4773e-14,sodium dichromate,
Propylene,Ash,,0.000322371,ash,
Propylene,"Chlorosilane, trimethyl-",,9.2525e-18,"chlorosilane,trimethyl-",
Propylene,"hydrogen sulfide [Emissions to air, unspecified]",,1.9475e-06,hydrogen sulfide,
Propylene,"rhodium [Emissions to air, unspecified]",,6.5774e-11,rhodium,
Propylene,"nitrobenzene [Emissions to air, unspecified]",,8.2086e-15,nitrobenzol,
Propylene,total organic carbon [Emissions to fresh water],,0.0162898,total organic carbon,
Propylene,"butene [Emissions to air, unspecified]",,7.667e-06,butene,
Propylene,"acrylic acid [Emissions to air, unspecified]",,9.5766e-20,acrylic acid,
Propylene,"Hydrocarbons, chlorinated [Emissions to air, unspecified]",,4.56e-10,"hydrocarbons,chlorinated",
Propylene,"waste heat [Emissions to air, unspecified]",,1.3826,waste heat,
Propylene,Benzal chloride,,1.3374e-20,benzal chloride,
Propylene,Dichromate [Emissions to fresh water],,1.0318e-13,dichromate,
Propylene,"1,2-dichlorobenzene [Emissions to fresh water]",,1.0486e-14,"1,2-dichlorobenzol",
Propylene,chromium VI [Emissions to fresh water],,2.86127e-07,chromium vi,
Propylene,"Nitrogen, organic bound [Emissions to fresh water]",,3.3708e-07,"nitrogen,organic bound",
Propylene,nitrobenzene [Emissions to fresh water],,3.2896e-14,nitrobenzol,
Propylene,dimethylamine [Emissions to fresh water],,4.6153e-15,dimethylamine,
Propylene,Methyl borate,,2.0911e-16,methyl borate,
Propylene,americium-241 [Emissions to fresh water],,3.4161e-07,americium-241,
Propylene,Waste of foil (inline recycling),,4.7894e-11,waste of foil,
Propylene,"carbon disulfide [Emissions to air, unspecified]",,1.8901e-08,carbon disulfide,
Propylene,"methyl formate [Emissions to air, unspecified]",,2.7072e-16,methyl formate,
Propylene,"Aldehydes, unspecified [Emissions to air, unspecified]",,1.1828e-09,"aldehydes,unspecified",
Propylene,hydrogen sulfide [Emissions to fresh water],,8.2463e-09,hydrogen sulfide,
Propylene,"Hydrocarbons, aromatic [Emissions to air, unspecified]",,1.5789e-05,"hydrocarbons,aromatic",
Propylene,fluoride [Emissions to fresh water],,2.9085e-06,fluoride,
Propylene,"propylene oxide [Emissions to air, unspecified]",,7.2632e-11,propene oxide,
Propylene,nitrite [Emissions to fresh water],,2.7441e-08,nitrite,
Propylene,sulfide [Emissions to fresh water],,1.7897e-08,sulfide,
Propylene,Dissolved solids [Emissions to fresh water],,1.793117782e-07,dissolved solids,
Propylene,"non-methane volatile organic compounds [Emissions to air, unspecified]",,0.00177230417,non-methane volatile organic compounds,
Propylene,tert-butyl methyl ether [Emissions to fresh water],,7.1056e-09,tert-butyl methyl ether,
Propylene,"R-40 [Emissions to air, unspecified]",,7.863e-11,r-40,
Propylene,"methylamine [Emissions to air, unspecified]",,7.418e-16,methylamine,
Propylene,Hazardous waste for further processing,,0.00063033,hazardous waste for further processing,
Propylene,chloride [Emissions to fresh water],,0.0398,chloride,
Propylene,waste heat [Emissions to fresh water],,0.255,waste heat,
Propylene,Filter dust,,0.00061659,filter dust,
Propylene,Radioactive isotopes (unspecific),,1.2114e-07,radioactive isotopes,
Propylene,Catalysts material,,1.9338e-05,catalysts material,
Propylene,"γ-butyrolactone [Emissions to air, unspecified]",,1.5277e-25,γ-butyrolactone,
Propylene,"Terpenes [Emissions to air, unspecified]",,5.5033e-12,terpenes,
Propylene,hydrocarbons (unspecified) [Emissions to fresh water],,5.3669e-07,hydrocarbons,
Propylene,Water from cooling [Emissions to fresh water],,0.0309,water from cooling,
Propylene,"chromium VI [Emissions to air, unspecified]",,4.8266e-10,chromium vi,
Propylene,"HFC-116 [Emissions to air, unspecified]",,1.7662e-11,hfc-116,
Propylene,propylene oxide [Emissions to fresh water],,1.7477e-10,propene oxide,
Propylene,antimony-124 [Emissions to fresh water],,6.2542e-08,antimony-124,
Propylene,methylamine [Emissions to fresh water],,1.7803e-15,methylamine,
Propylene,phosphate [Emissions to fresh water],,0.00012192,phosphate,
Propylene,"acetonitrile [Emissions to air, unspecified]",,6.6042e-12,acetonitrile,
Propylene,acid (as H+) [Emissions to fresh water],,4.3148e-09,acid,
Propylene,tributyltin oxide [Emissions to fresh water],,6.9111e-08,tributyltin oxide,
Propylene,"dimethyl formamide [Emissions to air, unspecified]",,5.5563e-07,dimethyl formamide,
Propylene,"hydrogen chloride [Emissions to air, unspecified]",,1.1032e-05,hydrogen chloride,
Propylene,"fluorine [Emissions to air, unspecified]",,1.3323e-11,fluorine,
Propylene,biological oxygen demand [Emissions to fresh water],,0.027845,biological oxygen demand,
Propylene,"tert-butyl methyl ether [Emissions to air, unspecified]",,2.5041e-06,tert-butyl methyl ether,
Propylene,antimony-125 [Emissions to fresh water],,2.2115e-09,antimony-125,
Propylene,ethylenediamine [Emissions to fresh water],,3.2203e-14,ethenediamine,
Propylene,Waste for recovery (unspecific),,0.0018878,waste for recovery,
Propylene,"ethylenediamine [Emissions to air, unspecified]",,1.3388e-14,ethenediamine,
Propylene,"xenon-133 [Emissions to air, unspecified]",,0.018266,xenon-133,
Propylene,"2-methyl-1-propene [Emissions to air, unspecified]",,1.5873e-06,2-methyl-1-propene,
Propylene,"monoethanolamine [Emissions to air, unspecified]",,6.9659e-11,monoethanolamine,
Propylene,"sulphuric acid [Emissions to air, unspecified]",,7.7442e-19,sulphuric acid,
Propylene,"Radioactive species, Nuclides, unspecified [Emissions to fresh water]",,498.09,"radioactive species,nuclides,unspecified",
Propylene,chemical oxygen demand [Emissions to fresh water],,0.027968,chemical oxygen demand,
Propylene,ammonium [Emissions to fresh water],,1.2968e-06,ammonium,
Propylene,Gypsum (FGD),,0.000858,gypsum,
Propylene,"methacrylate [Emissions to air, unspecified]",,4.1866e-19,methacrylate,
Propylene,"hydrogen [Emissions to air, unspecified]",,3.6203e-06,hydrogen,
Propylene,"Carbonyl sulfide [Emissions to air, unspecified]",,7.3834e-10,carbonyl sulfide,
Triethylene glycol,freshwater [Renewable material resources from water],,-0.0520998,freshwater,
Triethylene glycol,asbestos (white) [Non-renewable material resources from ground],,-1.2424e-08,asbestos,
Triethylene glycol,olivine [Non-renewable material resources from ground],,-1.9512e-10,olivine,
Triethylene glycol,sodium chloride [Non-renewable material resources from ground],,-0.00061568,sodium chloride,
Triethylene glycol,mineral extraction site [Land occupation],,-2.3369e-05,mineral extraction site,
Triethylene glycol,"agriculture, mosaic [Land occupation]",,-0.019772,"agriculture,mosaic",
Triethylene glycol,"Volume occupied, underground deposit [Land occupation]",,-1.0564e-08,"volume occupied,underground deposit",
Triethylene glycol,ground water [Renewable material resources from water],,-0.00066374,ground water,
Triethylene glycol,"Wood, soft, standing [Renewable material resources from biosphere]",,-5.392293034e-07,"wood,soft,standing",
Triethylene glycol,kieserite [Non-renewable material resources from ground],,-9.1229e-11,kieserite,
Triethylene glycol,from unspecified [Land transformation],,-1.2813e-06,from unspecified,
Triethylene glycol,"Water, salt, sole [Renewable material resources from water]",,-0.7179,"water,salt,sole",
Triethylene glycol,sand [Non-renewable material resources from ground],,-2.8798e-08,sand,
Triethylene glycol,primary energy from hydro power [Renewable energy resources from water],,-0.61374,primary energy from hydro power,
Triethylene glycol,lake water [Renewable material resources from water],,-7.0013e-07,lake water,
Triethylene glycol,praseodymium [Non-renewable element resources from ground],,-1.9982e-09,praseodymium,
Triethylene glycol,kaolin [Non-renewable material resources from ground],,-2.5859e-06,kaolin,
Triethylene glycol,"Wood, primary forest, standing [Renewable material resources from biosphere]",,-2.0532e-07,"wood,primary forest,standing",
Triethylene glycol,"from forest, primary [Land transformation]",,-4.3184e-09,"from forest,primary",
Triethylene glycol,barium sulfate [Non-renewable material resources from ground],,-1.1352e-06,barium sulfate,
Triethylene glycol,gypsum [Non-renewable material resources from ground],,-1.918672e-08,gypsum,
Triethylene glycol,neodymium [Non-renewable element resources from ground],,-1.8833e-08,neodymium,
Triethylene glycol,carbon [Non-renewable material resources from ground],,-2.8097e-08,carbon,
Triethylene glycol,"from agriculture, mosaic [Land transformation]",,-1.7265e-06,"from agriculture,mosaic",
Triethylene glycol,granite [Non-renewable material resources from ground],,-1.2119e-15,granite,
Triethylene glycol,to unspecified [Land transformation],,-3.7375e-07,to unspecified,
Triethylene glycol,sodium sulfate [Non-renewable material resources from ground],,-4.2971e-06,sodium sulfate,
Triethylene glycol,magnesite [Non-renewable material resources from ground],,-8.7092e-09,magnesite,
Triethylene glycol,cerium [Non-renewable element resources from ground],,-1.1422e-07,cerium,
Triethylene glycol,"Volume occupied, final repository for low-active radioactive waste [Land occupation]",,-8.6033e-10,"volume occupied,final repository for low-active radioactive waste",
Triethylene glycol,samarium [Non-renewable element resources from ground],,-1.4259e-09,samarium,
Triethylene glycol,inert rock [Non-renewable material resources from ground],,-3.3210420808019206e-06,inert rock,
Triethylene glycol,primary energy from wind power [Renewable energy resources from air],,-0.21631,primary energy from wind power,
Triethylene glycol,basalt [Non-renewable material resources from ground],,-1.3446e-11,basalt,
Triethylene glycol,colemanite [Non-renewable material resources from ground],,-3.263e-09,colemanite,
Triethylene glycol,biomass [Renewable energy resources from biosphere],,-0.77058048204,biomass,
Triethylene glycol,rhodium [Non-renewable element resources from ground],,-2.77324e-12,rhodium,
Triethylene glycol,potassium chloride [Non-renewable material resources from ground],,-5.6557e-09,potassium chloride,
Triethylene glycol,fluorspar [Non-renewable material resources from ground],,-1.5162e-05,fluorspar,
Triethylene glycol,"Volume occupied, final repository for radioactive waste [Land occupation]",,-2.1788e-10,"volume occupied,final repository for radioactive waste",
Triethylene glycol,bentonite [Non-renewable material resources from ground],,-1.8418e-06,bentonite,
Triethylene glycol,Pit Methane [Non-renewable energy resources from ground],,-0.00183033093478261,pit methane,
Triethylene glycol,clay [Non-renewable material resources from ground],,-2.6847e-06,clay,
Triethylene glycol,natural aggregate [Non-renewable material resources from ground],,-4.6636e-05,natural aggregate,
Triethylene glycol,"from urban, continuously built [Land transformation]",,-8.4451e-07,"from urban,continuously built",
Triethylene glycol,primary energy from solar energy [Renewable energy resources from air],,-0.022828,primary energy from solar energy,
Triethylene glycol,cinnabar [Non-renewable material resources from ground],,-1.1596e-09,cinnabar,
Triethylene glycol,"urban, continuously built [Land occupation]",,-0.00084613,"urban,continuously built",
Triethylene glycol,"to urban, continuously built [Land transformation]",,-1.296e-06,"to urban,continuously built",
Triethylene glycol,primary energy from geothermics [Renewable energy resources from ground],,-0.0047208,primary energy from geothermics,
Triethylene glycol,sodium nitrate [Non-renewable material resources from ground],,-6.0498e-15,sodium nitrate,
Triethylene glycol,feldspar [Non-renewable material resources from ground],,-1.4074e-15,feldspar,
Triethylene glycol,diatomite [Non-renewable material resources from ground],,-1.4411e-13,diatomite,
Triethylene glycol,gadolinium [Non-renewable element resources from ground],,-7.1419e-10,gadolinium,
Triethylene glycol,fluorine [Non-renewable element resources from ground],,-7.3785e-07,fluorine,
Triethylene glycol,europium [Non-renewable element resources from ground],,-2.8616e-10,europium,
Triethylene glycol,sea water [Renewable material resources from water],,-0.37764,sea water,
Triethylene glycol,calcium carbonate [Non-renewable material resources from ground],,-0.0070173,calcium carbonate,
Triethylene glycol,"to agriculture, mosaic [Land transformation]",,-1.554e-06,"to agriculture,mosaic",
Triethylene glycol,river water [Renewable material resources from water],,-0.00020314,river water,
Triethylene glycol,talc [Non-renewable material resources from ground],,-2.6157e-09,talc,
Triethylene glycol,antimonite [Non-renewable material resources from ground],,-1.4976e-14,antimonite,
Triethylene glycol,borax [Non-renewable material resources from ground],,-1.1419e-10,borax,
Triethylene glycol,dolomite [Non-renewable material resources from ground],,-6.7756e-09,dolomite,
Triethylene glycol,slate [Non-renewable material resources from ground],,-1.6156e-09,slate,
Triethylene glycol,calcium [Emissions to fresh water],,3.7791e-07,calcium,
Triethylene glycol,sulfate [Emissions to fresh water],,0.0035739,sulfate,
Triethylene glycol,"butylene glycol [Emissions to air, unspecified]",,8.8177e-16,butene glycol,
Triethylene glycol,total organic carbon [Emissions to non-agricultural soil],,4.1742e-08,total organic carbon,
Triethylene glycol,"hydrocarbons (unspecified) [Emissions to air, unspecified]",,8.05e-07,hydrocarbons,
Triethylene glycol,"Sodium dichromate [Emissions to air, unspecified]",,6.7378e-14,sodium dichromate,
Triethylene glycol,Ash,,0.00117952,ash,
Triethylene glycol,"Chlorosilane, trimethyl-",,6.5779e-18,"chlorosilane,trimethyl-",
Triethylene glycol,"hydrogen sulfide [Emissions to air, unspecified]",,1.3874e-06,hydrogen sulfide,
Triethylene glycol,"rhodium [Emissions to air, unspecified]",,4.6761e-11,rhodium,
Triethylene glycol,"nitrobenzene [Emissions to air, unspecified]",,5.8358e-15,nitrobenzol,
Triethylene glycol,total organic carbon [Emissions to fresh water],,0.01197,total organic carbon,
Triethylene glycol,"butene [Emissions to air, unspecified]",,5.4508e-06,butene,
Triethylene glycol,"acrylic acid [Emissions to air, unspecified]",,6.8083e-20,acrylic acid,
Triethylene glycol,"Hydrocarbons, chlorinated [Emissions to air, unspecified]",,3.2419e-10,"hydrocarbons,chlorinated",
Triethylene glycol,"waste heat [Emissions to air, unspecified]",,11.057,waste heat,
Triethylene glycol,Benzal chloride,,9.5078e-21,benzal chloride,
Triethylene glycol,Dichromate [Emissions to fresh water],,7.3353e-14,dichromate,
Triethylene glycol,"1,2-dichlorobenzene [Emissions to fresh water]",,7.455e-15,"1,2-dichlorobenzol",
Triethylene glycol,chromium VI [Emissions to fresh water],,2.13305e-07,chromium vi,
Triethylene glycol,"Nitrogen, organic bound [Emissions to fresh water]",,2.3964e-07,"nitrogen,organic bound",
Triethylene glycol,nitrobenzene [Emissions to fresh water],,2.3387e-14,nitrobenzol,
Triethylene glycol,dimethylamine [Emissions to fresh water],,3.2812e-15,dimethylamine,
Triethylene glycol,Methyl borate,,1.4867e-16,methyl borate,
Triethylene glycol,americium-241 [Emissions to fresh water],,2.1759e-06,americium-241,
Triethylene glycol,Waste of foil (inline recycling),,3.0472e-10,waste of foil,
Triethylene glycol,"carbon disulfide [Emissions to air, unspecified]",,1.3438e-08,carbon disulfide,
Triethylene glycol,"methyl formate [Emissions to air, unspecified]",,1.9247e-16,methyl formate,
Triethylene glycol,"Aldehydes, unspecified [Emissions to air, unspecified]",,8.4091e-10,"aldehydes,unspecified",
Triethylene glycol,hydrogen sulfide [Emissions to fresh water],,5.8626e-09,hydrogen sulfide,
Triethylene glycol,"Hydrocarbons, aromatic [Emissions to air, unspecified]",,1.1225e-05,"hydrocarbons,aromatic",
Triethylene glycol,fluoride [Emissions to fresh water],,2.3787e-06,fluoride,
Triethylene glycol,"propylene oxide [Emissions to air, unspecified]",,5.1637e-11,propene oxide,
Triethylene glycol,nitrite [Emissions to fresh water],,1.9509e-08,nitrite,
Triethylene glycol,sulfide [Emissions to fresh water],,1.348e-08,sulfide,
Triethylene glycol,Dissolved solids [Emissions to fresh water],,1.143311192e-06,dissolved solids,
Triethylene glycol,"non-methane volatile organic compounds [Emissions to air, unspecified]",,0.001509491262,non-methane volatile organic compounds,
Triethylene glycol,tert-butyl methyl ether [Emissions to fresh water],,5.0517e-09,tert-butyl methyl ether,
Triethylene glycol,"R-40 [Emissions to air, unspecified]",,5.5901e-11,r-40,
Triethylene glycol,"methylamine [Emissions to air, unspecified]",,5.2738e-16,methylamine,
Triethylene glycol,Hazardous waste for further processing,,0.00044813,hazardous waste for further processing,
Triethylene glycol,chloride [Emissions to fresh water],,0.029022,chloride,
Triethylene glycol,waste heat [Emissions to fresh water],,1.4133,waste heat,
Triethylene glycol,Filter dust,,0.003929,filter dust,
Triethylene glycol,Radioactive isotopes (unspecific),,3.1418e-07,radioactive isotopes,
Triethylene glycol,Catalysts material,,1.3748e-05,catalysts material,
Triethylene glycol,"γ-butyrolactone [Emissions to air, unspecified]",,1.0861e-25,γ-butyrolactone,
Triethylene glycol,"Terpenes [Emissions to air, unspecified]",,3.9125e-12,terpenes,
Triethylene glycol,hydrocarbons (unspecified) [Emissions to fresh water],,4.0293e-07,hydrocarbons,
Triethylene glycol,"chromium VI [Emissions to air, unspecified]",,3.4314e-10,chromium vi,
Triethylene glycol,"HFC-116 [Emissions to air, unspecified]",,7.4024e-11,hfc-116,
Triethylene glycol,propylene oxide [Emissions to fresh water],,1.2425e-10,propene oxide,
Triethylene glycol,antimony-124 [Emissions to fresh water],,3.9831e-07,antimony-124,
Triethylene glycol,methylamine [Emissions to fresh water],,1.2657e-15,methylamine,
Triethylene glycol,phosphate [Emissions to fresh water],,8.6678e-05,phosphate,
Triethylene glycol,"acetonitrile [Emissions to air, unspecified]",,4.6952e-12,acetonitrile,
Triethylene glycol,acid (as H+) [Emissions to fresh water],,2.6182e-08,acid,
Triethylene glycol,tributyltin oxide [Emissions to fresh water],,4.9134e-08,tributyltin oxide,
Triethylene glycol,"dimethyl formamide [Emissions to air, unspecified]",,3.9502e-07,dimethyl formamide,
Triethylene glycol,"hydrogen chloride [Emissions to air, unspecified]",,3.8976e-05,hydrogen chloride,
Triethylene glycol,"fluorine [Emissions to air, unspecified]",,8.5035e-11,fluorine,
Triethylene glycol,biological oxygen demand [Emissions to fresh water],,0.020307,biological oxygen demand,
Triethylene glycol,Triethylene glycol,,1.0,triethene glycol,
Triethylene glycol,"tert-butyl methyl ether [Emissions to air, unspecified]",,1.7802e-06,tert-butyl methyl ether,
Triethylene glycol,antimony-125 [Emissions to fresh water],,1.4189e-08,antimony-125,
Triethylene glycol,ethylenediamine [Emissions to fresh water],,2.2895e-14,ethenediamine,
Triethylene glycol,Waste for recovery (unspecific),,0.0013421,waste for recovery,
Triethylene glycol,"ethylenediamine [Emissions to air, unspecified]",,9.5182e-15,ethenediamine,
Triethylene glycol,"xenon-133 [Emissions to air, unspecified]",,0.11636,xenon-133,
Triethylene glycol,"2-methyl-1-propene [Emissions to air, unspecified]",,1.1284e-06,2-methyl-1-propene,
Triethylene glycol,"monoethanolamine [Emissions to air, unspecified]",,4.9523e-11,monoethanolamine,
Triethylene glycol,"sulphuric acid [Emissions to air, unspecified]",,5.5057e-19,sulphuric acid,
Triethylene glycol,"Radioactive species, Nuclides, unspecified [Emissions to fresh water]",,371.24,"radioactive species,nuclides,unspecified",
Triethylene glycol,chemical oxygen demand [Emissions to fresh water],,0.020387,chemical oxygen demand,
Triethylene glycol,ammonium [Emissions to fresh water],,2.55e-06,ammonium,
Triethylene glycol,Gypsum (FGD),,0.0044511,gypsum,
Triethylene glycol,"methacrylate [Emissions to air, unspecified]",,2.9764e-19,methacrylate,
Triethylene glycol,"hydrogen [Emissions to air, unspecified]",,2.5738e-06,hydrogen,
Triethylene glycol,"Carbonyl sulfide [Emissions to air, unspecified]",,5.2491e-10,carbonyl sulfide,
p-Xylene,freshwater [Renewable material resources from water],,-0.0212336,freshwater,
p-Xylene,asbestos (white) [Non-renewable material resources from ground],,-1.8369e-08,asbestos,
p-Xylene,olivine [Non-renewable material resources from ground],,-2.9889e-10,olivine,
p-Xylene,sodium chloride [Non-renewable material resources from ground],,-0.0011505,sodium chloride,
p-Xylene,mineral extraction site [Land occupation],,-3.2961e-05,mineral extraction site,
p-Xylene,"agriculture, mosaic [Land occupation]",,-0.0013986,"agriculture,mosaic",
p-Xylene,"Volume occupied, underground deposit [Land occupation]",,-1.1723e-08,"volume occupied,underground deposit",
p-Xylene,ground water [Renewable material resources from water],,-0.00011026,ground water,
p-Xylene,"Wood, soft, standing [Renewable material resources from biosphere]",,-7.311502145e-07,"wood,soft,standing",
p-Xylene,kieserite [Non-renewable material resources from ground],,-1.3017e-10,kieserite,
p-Xylene,from unspecified [Land transformation],,-1.7466e-06,from unspecified,
p-Xylene,"Water, salt, sole [Renewable material resources from water]",,-1.0472,"water,salt,sole",
p-Xylene,sand [Non-renewable material resources from ground],,-1.5199e-08,sand,
p-Xylene,primary energy from hydro power [Renewable energy resources from water],,-0.085152,primary energy from hydro power,
p-Xylene,lake water [Renewable material resources from water],,-6.8955e-07,lake water,
p-Xylene,praseodymium [Non-renewable element resources from ground],,-3.8059e-09,praseodymium,
p-Xylene,kaolin [Non-renewable material resources from ground],,-4.9138e-06,kaolin,
p-Xylene,"Wood, primary forest, standing [Renewable material resources from biosphere]",,-2.7851e-07,"wood,primary forest,standing",
p-Xylene,"from forest, primary [Land transformation]",,-6.1671e-09,"from forest,primary",
p-Xylene,barium sulfate [Non-renewable material resources from ground],,-1.6753e-06,barium sulfate,
p-Xylene,gypsum [Non-renewable material resources from ground],,-2.15393e-08,gypsum,
p-Xylene,neodymium [Non-renewable element resources from ground],,-3.5871e-08,neodymium,
p-Xylene,carbon [Non-renewable material resources from ground],,-5.00685e-08,carbon,
p-Xylene,"from agriculture, mosaic [Land transformation]",,-2.4022e-06,"from agriculture,mosaic",
p-Xylene,granite [Non-renewable material resources from ground],,-1.7392e-15,granite,
p-Xylene,to unspecified [Land transformation],,-5.4369e-07,to unspecified,
p-Xylene,sodium sulfate [Non-renewable material resources from ground],,-5.912e-06,sodium sulfate,
p-Xylene,magnesite [Non-renewable material resources from ground],,-1.263e-08,magnesite,
p-Xylene,cerium [Non-renewable element resources from ground],,-2.1755e-07,cerium,
p-Xylene,"Volume occupied, final repository for low-active radioactive waste [Land occupation]",,-1.2083e-09,"volume occupied,final repository for low-active radioactive waste",
p-Xylene,samarium [Non-renewable element resources from ground],,-2.7159e-09,samarium,
p-Xylene,inert rock [Non-renewable material resources from ground],,-4.572125946352332e-06,inert rock,
p-Xylene,primary energy from wind power [Renewable energy resources from air],,-0.02181,primary energy from wind power,
p-Xylene,basalt [Non-renewable material resources from ground],,-1.9371e-11,basalt,
p-Xylene,colemanite [Non-renewable material resources from ground],,-4.5826e-09,colemanite,
p-Xylene,biomass [Renewable energy resources from biosphere],,-0.0586146884,biomass,
p-Xylene,rhodium [Non-renewable element resources from ground],,-3.95204e-12,rhodium,
p-Xylene,potassium chloride [Non-renewable material resources from ground],,-8.0593e-09,potassium chloride,
p-Xylene,fluorspar [Non-renewable material resources from ground],,-2.0857e-05,fluorspar,
